userName,score,at,content,Day,Month,Year,Hour,Minute,Sec
Intan Silviana Putri,1,2024-09-29 03:29:19,aplikasi najis,29,9,2024,3,29,19
Intan Aprian,3,2024-09-29 03:27:27,Kenapa ya kode otp saya tidak muncul jadi aplikasinya tidak bisa digunakan,29,9,2024,3,27,27
Ridho Yudi,3,2024-09-29 03:19:18,Baik,29,9,2024,3,19,18
Yurni Azhari,1,2024-09-29 03:17:50,Aplikasi jelek setiap dowland vidio selalu hilang sendiri 👎,29,9,2024,3,17,50
Ervan Ipank,3,2024-09-29 03:08:17,ok,29,9,2024,3,8,17
Ahmad nur fajri,3,2024-09-29 03:08:14,bagus banget,29,9,2024,3,8,14
Davin Raditya,1,2024-09-29 03:05:10,kodenya ngga muncul,29,9,2024,3,5,10
alivia p,1,2024-09-29 02:59:35,login nya skrg kok susah amat kita perlu tele buat kerja g ush nyusahin gunanya apk biar hal makin mudah g makin sulit.,29,9,2024,2,59,35
Am R,1,2024-09-29 02:55:24,Mengapa telegram saya g bisa di buka harus menggunakan PIN padahal tidak pernah di kasih pin untuk buka Di delete dan di install lagi sama tetap tidak bisa harus menggunakan PIN lagi 😭😭😭😭😭,29,9,2024,2,55,24
talinggarselamita,1,2024-09-29 02:51:17,Login nya susah bangettt!!!,29,9,2024,2,51,17
Ilham kurniawan,2,2024-09-29 02:44:07,Code gak bisa masuk payah,29,9,2024,2,44,7
Aulia Megaputri,3,2024-09-29 02:28:21,Mantap,29,9,2024,2,28,21
Adam Dwi andika,1,2024-09-29 02:22:20,Apk rusak saya udah tunggu lama tapi tidak ada panggilan kode nya,29,9,2024,2,22,20
Gary Talita Nissa,1,2024-09-29 02:16:38,Susah sekali mengunakan nyaa,29,9,2024,2,16,38
Nur Irfansyah,1,2024-09-29 02:06:50,Masuk'a susah sekrng.,29,9,2024,2,6,50
Yudha Prananda Yudha,1,2024-09-29 02:06:46,"Uda pernah download cuman di hapus lgi karena code verifikasi nya gk muncul"" tolong buat developer gimana caranya agar code keluar",29,9,2024,2,6,46
Shalune,3,2024-09-29 02:05:09,Bgus,29,9,2024,2,5,9
Yuni Ihda,3,2024-09-29 02:03:59,Senang,29,9,2024,2,3,59
Lorensya Ayu,1,2024-09-29 01:58:52,Buruk banget sih telegram skrg. Mau login aja ga bisa keluar kode OTP nya padahal kartu aktif dan sinyal bagus. Udah dicoba berulang2 tetep gabisa. Buruk banget,29,9,2024,1,58,52
Rifqi Al muhaimin,1,2024-09-29 01:39:22,loginnya sering error,29,9,2024,1,39,22
muhammad asril,1,2024-09-29 01:35:53,woiii telegram gimana sih SMSNYA MANNA KAGADA MASUK MASUK NOMOR UDAH BENER,29,9,2024,1,35,53
Fahri Azmi,1,2024-09-29 01:24:33,ga bisa daftar,29,9,2024,1,24,33
Iyus Ruslan Xll-MIPA 2,1,2024-09-29 01:16:52,Kode otp lama muncul,29,9,2024,1,16,52
Sarep Buet,1,2024-09-29 01:16:43,ketipu,29,9,2024,1,16,43
Winarti,1,2024-09-29 01:15:04,"I want to log in but it's very difficult. I've entered a new number but still haven't received a verification code. Please send the code via SMS only, don't send it via another device.",29,9,2024,1,15,4
Linggar Dwi Cahyo,1,2024-09-29 01:12:20,"Ga bisa login, masa kode verifikasi gak dikirim kirim padahal udah hampir 1 bulan saya mau login tapi nggak bisa bisa",29,9,2024,1,12,20
Adri Susanti,2,2024-09-29 01:11:35,kenapa mau login jadi susah sih padahal dulu mudah ajah...tolong lah diperbaiki,29,9,2024,1,11,35
Alexzsader Alex,3,2024-09-29 01:10:28,Hiy semuwa semogah suksez,29,9,2024,1,10,28
Alex Afrihan,1,2024-09-29 01:07:14,kode verifikasi tak mau keluar,29,9,2024,1,7,14
yab_3,1,2024-09-29 01:02:37,"Kode dikirim ke pesan telegram anda Oiiii, masuk aja gak bisa, gimana cara liat pesan telegram",29,9,2024,1,2,37
Raihan Muhammad,1,2024-09-29 00:58:26,"login tidak bisa, sms tidak masuk, payah",29,9,2024,0,58,26
alya rosalina,1,2024-09-29 00:46:05,"tolong perbaiki, setiap daftar dengan nomor yg baru tidak pernah ada masuk kode verifikasi",29,9,2024,0,46,5
Yance Siahaya,3,2024-09-29 00:44:51,Knp kodenya blm masuk kha,29,9,2024,0,44,51
Mi12 Lite,1,2024-09-29 00:37:11,Ampass system sms code gak masuk,29,9,2024,0,37,11
Nining Suryaningsih,2,2024-09-29 00:33:50,Kenapa ngga dapet kode terus dari kemarin... padahal mau pake telegram lagi,29,9,2024,0,33,50
Rama Rosad,1,2024-09-29 00:30:29,Kenapa saya tidak bisa membeli bintang/stars lagi???,29,9,2024,0,30,29
taufiq nurcholis,1,2024-09-29 00:25:55,aplikasi apa ini login kok susahh 👎👎👎,29,9,2024,0,25,55
Rio Rio,1,2024-09-29 00:16:30,Aplikasi busuk ga bisa log in/daftar susah banget ga usah di install!!!,29,9,2024,0,16,30
Frida S,3,2024-09-29 00:02:00,Kenapa ketika login selalu tidak menerima kode verifikasi melalui SMS padahal nomer handphone sudah benar,29,9,2024,0,2,0
